id,type,text,expr,answer,rules_json,solution,solution_expr
314127,6,найдите значение выражения,"sub ( mult ( a , div ( deg ( b , 2 ) , deg ( c , 2 ) ) ) , mult ( d , div ( b , c ) ) )",-2,"[{20, 8, 16}]",,"[{""0"": ""ev ( mult ( div ( b , c ) , sub ( mult ( a , div ( b , c ) ) , d ) ) , e )"", ""1"": ""ev ( mult ( div ( b , c ) , e ) , d )""}]"
314264,6,вычислите,"sum ( div ( a , b ) , div ( c , d ) )","3,91",[{40}],,"[{""0"": ""ev ( sum ( div ( a , b ) , div ( c , d ) ) , div ( sum ( mult ( a , d ) , mult ( c , b ) ) , mult ( b , d ) ) )""}]"
314265,6,вычислите,"sub ( div ( a , b ) , div ( c , d ) )","-0,3",[{41}],,"[{""0"": ""ev ( sub ( div ( a , b ) , div ( c , d ) ) , div ( sub ( mult ( a , d ) , mult ( c , b ) ) , mult ( b , d ) ) )""}]"
314288,6,найдите значение выражения,"div ( sum ( div ( a , b ) , div ( c , d ) ) , div ( e , f ) )","31,6","[{40, 5}]",,"[{""0"": ""ev ( sum ( div ( a , b ) , div ( c , d ) ) , div ( sum ( mult ( a , d ) , mult ( c , b ) ) , mult ( b , d ) ) )"", ""1"": ""ev ( mult ( div ( b , c ) , e ) , d )""}]"
333006,6,найдите значение выражения,"div ( a , mult ( b , c ) )","0,2",[{42}],,
333111,6,найдите значение выражения,"mult ( sum ( div ( a , b ) , div ( c , d ) ) , div ( e, f ) )","2,18","[{41, 9}]",,
337385,6,найдите значение выражения,"mult ( sum ( div ( a , b ) , div ( c , d ) ) , e )","79,2","[{40, 8}]",,
337528,6,найдите значение выражения,"div ( div ( a , b ) , sum ( div ( d , c ) , div ( e , f) ) ","0,44","[{40, 5}]",,
341664,6,найдите значение выражения,"mult ( sum ( div ( a , b ) , div ( c , d ) ) , e )",126,"[{41, 6}]",,
383596,6,найдите значение выражения,"mult ( div ( a , b ) , div ( c , d ) )","1,2","[{42, 9}]",,
438264,6,найдите значение выражения,"div ( a,b , c,d )",5,[{13}],,
439897,6,найдите значение выражения. представьте результат в виде несократимой обыкновенной дроби. в ответ запишите числитель этой дроби,"sub ( div ( a , b ) , c )",13,[{41}],,
448832,6,найдите значение выражения,"sub ( div ( a , b ) , div ( c , d ) )","1,8",[{41}],,
450504,6,представьте выражение виде дроби со знаменателем 70 в ответ запишите числитель полученной дроби. ,"sub ( div ( a , b ) , c )",22,[{41}],,
58,6,найдите значение выражения,"div ( sub ( a,b , c,d ) , e,f)","2,25","[{13, 11}]",,
110,6,найдите значение выражения,"sum ( mult ( a,b , deg ( c , e) ) , d )",-550,[{17}],,
188,6,найдите значение выражения,"div ( a,b , sub ( c,f , d,e ) )","1,6","[{13, 11}]",,
314204,6,найдите значение выражения,"sum ( mult ( a,b , deg ( c , e ) ) , d )",35,[{17}],,
337331,6,найдите значение выражения,"div ( a,b , sum ( a,b , c,d ) )",1,"[{13, 10}]",,
337309,6,найдите значение выражения,"div ( sum ( a,b , c,d ) , e,f )",55,"[{18, 10}]",,
314236,6,найдите значение выражения,"div ( mult ( a,b , c,d ) , e,f )","3,2","[{13, 12}]",,
287946,6,найдите значение выражения,"div ( a , mult ( b,c , e,f ) )","12,5","[{12, 18}]",,
314233,6,найдите значение выражения,"sub ( a , mult ( b,c , deg ( e , d ) ) )",-50,[{17}],,
316314,6,найдите значение выражения,"sum ( mult ( a,b , c,d ) , e,f)","4,4","[{12, 10}]",,
316340,6,найдите значение выражения,"mult ( mult ( a,b , c,d ) , e )",270,"[{12, 17}]",,
337334,6,найдите значение выражения,"mult ( mult ( a,b , c ) , d )","34,3",[{17}],,
369727,6,найдите значение выражения,"sub ( a,b , c,d )","-1,9",[{11}],,
337273,6,найдите значение выражения,"div ( a,b , sum ( c , div ( d , e ) ) )","0,8","[{2, 10}]",,
337509,6,найдите значение выражения,"div ( a , mult ( b,c , d ) )","3,75","[{17, 18}]",,
340581,6,найдите значение выражения,"sum ( div ( a , b ) , c,d )","0,95",[{10}],,
203747,6,"запишите десятичную дробь, равную сумме","sum ( sum ( mult ( a , deg ( b , c ) ) , mult ( d , deg ( e , f ) ) ) , mult ( g , deg ( h , i ) ) )","0,3105","[{44, 10}]",,
311395,6,найдите значение выражения,"div ( mult ( deg ( a , b ) , deg ( c , d ) ) , deg ( e , f ) )",81,"[{21, 22}]",,
337268,6,найдите значение выражения,"sum ( sum ( mult ( a , deg ( b , c ) ) , mult ( d , deg ( e , f ) ) ) , mult ( g , deg ( h , i ) ) )","0,5604","[{44, 10}]",,
338038,6,найдите значение выражения,"mult ( a,b , deg ( c , d ) )","0,000196","[{21, 17}]",,
149,10,,,"0,88","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
132728,10,,,"0,2","[{34, 36}]",,"[{""0"": ""ev ( div ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
132730,10,,,"0,85","[{34, 36}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
132732,10,,,"0,25","[{34, 36}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
132734,10,,,"0,2","[{34, 36}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
132736,10,,,"0,9","[{34, 36, 37}]",,"[{""0"": ""ev ( sub ( 1 , b ) , c )""}]"
132738,10,,,"0,5","[{34, 36}]",,"[{""0"": ""ev ( sub ( sub ( a , b ) , c ) , e )"", ""1"": ""ev ( div ( e , a ) , d )""}]"
132740,10,,,"0,75","[{34, 36}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
132744,10,,,"0,6","[{34, 36}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
311919,10,,,"0,25","[{34, 38}]",,"[{""0"": ""ev ( div ( 1 , a) , b)""}]"
325436,10,,,"0,95","[{34, 36, 37}]",,"[{""0"": ""ev ( div ( a , c ) , b )"", ""1"": ""ev ( div ( a , c ) , b )""}]"
316354,10,,,"0,9604","[{37, 39}]",,"[{""0"": ""ev ( sub ( 1 , a ) , b )"", ""1"": ""ev ( mult ( b , b ) , c )""}]"
325454,10,,,"0,011","[{37, 36}]",,"[{""0"": ""ev ( div ( c , a ) , b )"", ""1"": ""ev ( sub ( 1 , e ) , d )"", ""2"":""ev ( sub ( d , b ) , f )""}]"
325457,10,,,"0,81",[{37}],,"[{""0"": ""ev ( sub ( 1 , a ) , b )""}]"
325540,10,,,"0,0625","[{37, 39}]",,"[{""0"": ""ev ( sub ( 1 , a ) , a )"", ""1"": ""ev ( mult ( mult ( a , a ) , a ) , b )"", ""2"":""ev ( mult ( mult ( a , a ) , a ) , b )""}]"
132748,10,,,"0,05","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
311324,10,,,"0,18","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
311336,10,,,"0,9","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
311359,10,,,"0,013","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
311415,10,,,"0,94","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
311505,10,,,"0,75",[{37}],,"[{""0"": ""ev ( sub ( 1 , a ) , b )""}]"
311512,10,,,"0,25","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
311525,10,,,"0,3","[{36, 34}]",,"[{""0"": ""ev ( sum ( a , b ) , c )"", ""1"": ""ev ( div ( b , c ) , d )""}]"
311767,10,,,"0,2","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
311919,10,,,"0,25",[{37}],,"[{""0"": ""ev ( sub ( 1 , a ) , b )""}]"
315159,10,,,"0,55","[{36, 34}]",,"[{""0"": ""ev ( sum ( sum ( a , b ) , c ) , d )"", ""1"": ""ev ( div ( a , d) , e )""}]"
315173,10,,,"0,45","[{36, 34}]",,"[{""0"": ""ev ( sum ( sum ( a , b ) , c ) , d )"", ""1"": ""ev ( div ( a , d) , e )""}]"
315195,10,,,"0,995","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
316328,10,,,"0,5","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325436,10,,,"0,95","[{34, 36, 37}]",,"[{""0"": ""ev ( div ( a , b ) , c )"", ""1"": ""ev ( sub ( 1 , c ) , d )""}]"
325450,10,,,"0,3","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325451,10,,,"0,5","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325453,10,,,"0,5","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325482,10,,,"0,5","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325486,10,,,"0,375","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325491,10,,,"0,25","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
325580,10,,,"0,56","[{36, 34}]",,"[{""0"": ""ev ( div ( sub ( sub ( sub ( a , b ) , c ) , d ) , e ) , f )"", ""1"": ""ev ( div ( sum ( b , f ) , a ) , g )""}]"
341364,10,,,"0,25","[{36, 34}]",,"[{""0"": ""ev ( div ( a , b ) , c )""}]"
341531,10,,,"0,92","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
448934,10,,,"0,9","[{36, 34}]",,"[{""0"": ""ev ( sub ( a , b ) , c )"", ""1"": ""ev ( div ( c , a ) , d )""}]"
1,10,"Вероятность того, что новая шариковая ручка пишет плохо (или не пишет), равна 0,1. Покупатель в магазине выбирает одну ручку. Найдите вероятность того, что эта ручка пишет хорошо.",,"0,9",[{37}],,
2,10,"В магазине стоят два платежных автомата. Оба могут быть неисправны с вероятностью 0,0025. Найдите вероятность того, что хотя бы один автомат исправен",,"0,9975",[{37}],,
3,10,"При изготовлении подшипников диаметром 55 мм вероятность того, что диаметр будет отличаться от заданного не более чем на 0,01 мм, равна 0,925. Найдите вероятность того, что случайный подшипник будет иметь диаметр меньше, чем 54,99, или больше, чем 55,01 мм.",,"0,075",[{37}],,